name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2022-06-01T00:00:00,19.9,19.9,15.6,75.86,0,0,,0,0,30.2,26.7,50,1014.2,29.3,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
"New York City,USA",2022-06-01T01:00:00,19.3,19.3,15.5,78.97,0,0,,0,0,27.7,20.5,41,1014,0.9,16,0,,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
"New York City,USA",2022-06-01T02:00:00,18.3,18.3,14.3,77.59,0,0,,0,0,27.7,16.9,50,1014.6,29.7,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
"New York City,USA",2022-06-01T03:00:00,17.2,17.2,13.8,80.53,0,0,,0,0,31.7,28.9,43,1014.9,89.1,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
"New York City,USA",2022-06-01T04:00:00,16.7,16.7,13.3,80.48,0,0,,0,0,33.5,22.5,32,1014.8,99,16,0,,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
"New York City,USA",2022-06-01T05:00:00,16.1,16.1,13.3,83.27,0,0,,0,0,27.7,20.5,42,1015.1,100,16,0,,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
"New York City,USA",2022-06-01T06:00:00,16.1,16.1,13.3,83.32,0,0,,0,0,18,20.3,51,1015.2,99.6,16,23,0.1,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T07:00:00,16.6,16.6,13.3,80.6,0,0,,0,0,13,14.6,41,1015.7,99.6,16,127,0.5,1,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T08:00:00,16,16,12.2,78.14,0,0,,0,0,10.4,14.4,47,1015.8,97,16,84,0.3,1,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T09:00:00,17.1,17.1,13.8,80.65,0,0,,0,0,9.7,11.2,32,1016.3,100,14.1,160,0.6,2,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T10:00:00,16.6,16.6,12.1,74.82,0,0,,0,0,9,4.9,15,1016,100,16,251,0.9,3,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T11:00:00,18,18,12.7,70.87,0,0,,0,0,11.2,12.6,43,1015.6,100,16,587,2.1,6,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T12:00:00,20,20,13,64.12,0,0,,0,0,12.2,16.3,55,1014.8,91.8,16,492,1.8,5,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T13:00:00,20.4,20.4,12.9,62.14,0,0,,0,0,17.3,9.4,50,1014.3,91.8,16,441,1.6,4,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T14:00:00,20.8,20.8,13.4,62.6,0,0,,0,0,15.8,15.5,72,1013.9,91.8,16,445,1.6,4,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T15:00:00,19.7,19.7,13.8,68.72,0,0,,0,0,14.4,8.9,40,1013.5,100,16,234,0.8,2,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T16:00:00,18.8,18.8,13,69.33,0,0,,0,0,11.9,13.1,87,1013.2,100,16,109,0.4,1,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T17:00:00,18.2,18.2,13.4,73.55,0,0,,0,0,15.1,9,60,1012.9,100,16,79,0.3,1,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T18:00:00,17,17,15.2,88.89,0.957,100,rain,0,0,13,6.9,180,1012.1,100,7.9,46,0.2,0,10,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T19:00:00,16.4,16.4,14.4,87.88,0.129,100,rain,0,0,20.5,3.9,54,1012.5,100,10.1,25,0.1,0,10,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-01T20:00:00,16.3,16.3,14.1,86.73,0.091,100,rain,0,0,10.8,9,65,1012.9,100,10.3,5,0,0,10,"Rain, Overcast",rain,"72505394728,KLGA,F8726,KNYC,72503014732"
"New York City,USA",2022-06-01T21:00:00,15.8,15.8,14.2,90.41,10.989,100,rain,0,0,27.4,11.5,190,1010.7,91.8,7.9,0,,0,10,"Rain, Overcast",rain,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-01T22:00:00,15.8,15.8,14.7,93.19,0,0,rain,0,0,27.4,10.3,267,1012.4,100,10.1,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-01T23:00:00,16.3,16.3,15.3,93.83,4.847,100,rain,0,0,14.4,10.3,112,1012,100,4.9,0,,0,10,"Rain, Overcast",rain,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-02T00:00:00,16.3,16.3,15.3,93.83,1.973,100,rain,0,0,14.8,14.8,200,1010.3,91.8,10.1,0,,0,10,"Rain, Overcast",rain,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-02T01:00:00,16.7,16.7,15.5,92.43,0,0,rain,0,0,16.2,3,299,1009.9,100,10.1,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-02T02:00:00,17.1,17.1,15.8,92.45,0,0,,0,0,19.4,3.5,310,1008.9,100,8.7,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-02T03:00:00,16.8,16.8,16.1,95.69,0,0,,0,0,13.7,10,245,1010,100,6.5,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-02T04:00:00,16.8,16.8,16.1,95.69,0,0,rain,0,0,15.1,7.6,299,1007.6,63.4,7.2,0,,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-02T05:00:00,17.4,17.4,16.6,94.93,0.08,100,rain,0,0,12.2,6.3,294,1007.8,88.8,7,0,,0,10,"Rain, Partially cloudy",rain,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-02T06:00:00,17.5,17.5,16.6,94.13,0,0,,0,0,13.7,7,297,1008,60.4,10.1,30,0.1,0,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-02T07:00:00,18.1,18.1,16.9,92.76,0,0,rain,0,0,11.2,8.4,270,1008.7,60.4,11.6,112,0.4,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-02T08:00:00,19.3,19.3,17.5,89.41,0,0,,0,0,13,9.5,280,1008.9,88.8,16,218,0.8,2,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T09:00:00,20.1,20.1,17.7,85.89,0,0,,0,0,15.1,7,350,1008.2,88.8,14.5,276,1,3,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T10:00:00,20.4,20.4,17.9,85.2,0,0,,0,0,10.4,4,0,1007.8,88.8,14.5,308,1.1,3,3,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T11:00:00,22.1,22.1,18,77.58,0,0,,0,0,6.5,1.4,345,1007.3,43.6,14.5,489,1.8,5,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T12:00:00,24,24,17.9,68.58,0,0,,0,0,13,2,19,1006.8,43.6,16,418,1.5,4,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T13:00:00,25.3,25.3,18.9,67.91,0,0,,0,0,10.4,5.4,320,1006.8,43.6,16,582,2.1,6,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T14:00:00,25.8,25.8,18.2,62.82,0,0,,0,0,4.7,3.5,15,1006,88.8,14.5,680,2.4,7,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T15:00:00,25.5,25.5,18.7,66.34,0,0,,0,0,16.9,4.9,65,1005.4,88.8,16,661,2.4,7,10,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T16:00:00,26.2,26.2,18.4,61.87,0,0,,0,0,28.8,3.9,61,1004.5,88.8,16,123,0.4,1,30,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T17:00:00,20.3,20.3,19.2,93.69,1.309,100,rain,0,0,20.5,8.8,347,1006.9,100,1.3,58,0.2,1,10,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T18:00:00,20.8,20.8,19.9,94.37,5.259,100,rain,0,0,13,6.5,23,1005.5,91.8,14.4,128,0.5,1,10,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T19:00:00,19.4,19.4,18.4,94.3,0,0,,0,0,15.8,13.9,55,1006.1,100,4.9,44,0.2,0,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T20:00:00,19.7,19.7,18.7,94.07,3.333,100,rain,0,0,12.2,11.1,67,1006.6,68,7.6,14,0.1,0,10,"Rain, Partially cloudy",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T21:00:00,19.2,19.2,18.2,94.31,0,0,,0,0,9.4,7.6,45,1007.5,88.3,9.2,5,0,0,10,Partially cloudy,partly-cloudy-night,"KLGA,F1417,KNYC,72503014732"
"New York City,USA",2022-06-02T22:00:00,19.1,19.1,18.3,95.09,0,0,,0,0,16.9,11.2,50,1007,91.8,8.1,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-02T23:00:00,19.2,19.2,17.9,92.15,0,0,,0,0,6.8,8.5,81,1006.9,100,6.6,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-03T00:00:00,18.9,18.9,18,95.08,0,0,,0,0,9,2.5,23,1006.9,100,4.9,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-03T01:00:00,18.7,18.7,17.7,93.69,0,0,,0,0,13.3,8.6,62,1007,100,3,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-03T02:00:00,18.7,18.7,17.7,93.69,0,0,,0,0,13.3,8.5,43,1006.7,100,2.7,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-03T03:00:00,18.4,18.4,17.4,93.81,0,0,,0,0,17.3,14.1,47,1006.4,100,2.5,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-03T04:00:00,17.5,17.5,16.8,95.35,0,0,,0,0,15.8,9.4,40,1006.2,100,3.9,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2022-06-03T05:00:00,17.1,17.1,16.4,95.96,0,0,,0,0,13.3,12.3,62,1006.9,100,3.4,0,,0,10,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
